Fold,Train_size,Test_size,Accuracy,F1
1,252,63,0.4762,0.5714
2,315,63,0.4444,0.507
3,378,63,0.4286,0.25
4,441,63,0.5556,0.6111
5,504,63,0.4127,0.4127
6,567,63,0.5714,0.6494
7,630,63,0.5238,0.6341
8,693,63,0.4603,0.5278
9,756,63,0.3968,0.4242
10,819,63,0.4921,0.5676
11,882,63,0.4603,0.4848
12,945,63,0.5397,0.5797
13,1008,63,0.4762,0.5217
14,1071,63,0.4921,0.5152
15,1134,63,0.619,0.6842
16,1197,63,0.4921,0.5676
17,1260,63,0.4444,0.557
18,1323,63,0.4286,0.4375
19,1386,63,0.4921,0.5556
20,1449,63,0.5397,0.6234
21,1512,63,0.4762,0.5823
22,1575,63,0.4444,0.5679
23,1638,63,0.4762,0.5352
24,1701,63,0.4921,0.5294
25,1764,63,0.5397,0.6234
26,1827,63,0.4921,0.5152
